model_id,model_name,train_acc,test_acc,error_rate,precision_macro,recall_macro,f1_macro,roc_auc_macro,recall_dropout,recall_enrolled,recall_graduate,tree_depth,n_leaves,author
M0,Baseline Decision Tree (Gini),1.0,0.6689265536723163,0.3310734463276836,0.6076422275348095,0.6093103819612706,0.6082714451557522,0.7194555497475962,0.6795774647887324,0.3836477987421384,0.7647058823529411,27,634,B
M1,Cost-complexity pruned tree,0.7680135631534332,0.7559322033898305,0.2440677966101695,0.7104944054693526,0.6601651563001237,0.6729254881603127,0.8476921380719865,0.6866197183098591,0.3459119496855345,0.9479638009049772,5,17,C
M2a,Decision Tree with Balanced Class Weights,1.0,0.6508474576271186,0.3491525423728814,0.5842501160502002,0.5878479992336271,0.5854090114571121,0.7053207147912977,0.6795774647887324,0.3396226415094339,0.744343891402715,28,696,D
M2b,Decision Tree with SMOTE on Training Set,1.0,0.688135593220339,0.311864406779661,0.6365130979545455,0.6429371308339903,0.6387466009671455,0.7421224276221162,0.7077464788732394,0.4654088050314465,0.755656108597285,39,847,D
M3,Early-warning Decision Tree (no semester outcomes),1.0,0.5412429378531074,0.4587570621468926,0.4920897622694611,0.4943895183808582,0.4930500917912404,0.6253549801464316,0.5316901408450704,0.3270440251572327,0.6244343891402715,30,963,E
